Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00194,28,male,9,auditory,5,no,76.0,91.0,91.0,yes,high,20,8,A
S00195,27,female,45,kinesthetic,4,yes,85.0,86.0,57.0,no,medium,2,8,A
S00196,29,female,26,reading/writing,4,no,67.0,78.0,82.0,no,low,15,9,B
S00197,20,male,39,kinesthetic,20,no,96.0,84.0,73.0,no,high,14,6,B
S00198,24,male,24,auditory,20,yes,52.0,51.0,96.0,yes,medium,25,10,D
S00199,19,male,29,kinesthetic,11,yes,77.0,69.0,98.0,no,medium,12,5,C
S00200,28,male,14,kinesthetic,2,no,71.0,77.0,65.0,no,medium,26,10,B
S00201,27,male,22,kinesthetic,3,yes,66.0,69.0,65.0,yes,medium,1,9,C
S00202,22,male,38,auditory,1,no,72.0,73.0,77.0,no,medium,14,4,B
S00203,22,male,5,visual,14,yes,71.0,71.0,66.0,no,medium,4,9,B
S00204,26,female,8,visual,1,no,70.0,54.0,88.0,yes,low,21,5,D
S00205,22,male,42,reading/writing,16,yes,78.0,63.0,89.0,yes,high,8,10,C
S00206,24,female,40,visual,13,no,93.0,88.0,53.0,yes,medium,15,5,A
S00207,26,male,36,kinesthetic,6,yes,67.0,88.0,68.0,yes,high,8,10,A
S00208,25,female,38,reading/writing,1,yes,83.0,51.0,74.0,yes,low,13,5,D
S00209,22,female,30,kinesthetic,15,yes,96.0,40.0,75.0,no,low,16,8,D
S00210,27,male,32,visual,15,yes,71.0,40.0,71.0,no,medium,4,4,D
S00211,18,female,42,kinesthetic,17,yes,98.0,50.0,73.0,yes,low,20,5,D
S00212,22,male,23,reading/writing,14,no,91.0,90.0,76.0,no,low,27,10,A
S00213,21,female,37,reading/writing,17,yes,78.0,61.0,63.0,yes,medium,12,10,C
S00214,18,male,12,visual,4,no,54.0,68.0,63.0,yes,high,23,10,C
S00215,29,male,32,auditory,4,yes,64.0,85.0,55.0,yes,medium,12,6,A
S00216,25,male,12,reading/writing,14,no,72.0,73.0,83.0,yes,medium,0,6,B
S00217,19,male,11,reading/writing,1,yes,53.0,91.0,100.0,yes,high,3,6,A
S00218,19,female,20,kinesthetic,17,yes,51.0,79.0,65.0,yes,medium,13,8,B
S00219,20,female,41,visual,10,no,65.0,91.0,54.0,yes,medium,22,10,A
S00220,26,male,18,reading/writing,14,yes,52.0,94.0,64.0,no,low,22,8,A
S00221,24,male,46,auditory,1,yes,70.0,76.0,93.0,no,medium,7,5,B
S00222,29,male,13,visual,12,yes,59.0,58.0,83.0,yes,medium,1,7,C
S00223,25,male,41,reading/writing,13,yes,55.0,52.0,51.0,yes,medium,3,6,D
S00224,27,male,26,auditory,16,yes,53.0,78.0,98.0,yes,medium,3,5,B
S00225,26,female,48,kinesthetic,19,yes,91.0,60.0,100.0,yes,high,18,6,C
S00226,26,female,34,visual,4,yes,61.0,77.0,51.0,no,low,15,10,B
S00227,28,male,31,auditory,10,no,78.0,85.0,86.0,no,medium,27,9,A
S00228,20,female,20,reading/writing,8,no,54.0,44.0,94.0,yes,high,8,8,D
S00229,19,female,37,kinesthetic,4,yes,73.0,45.0,60.0,no,low,16,7,D
S00230,27,male,42,kinesthetic,19,yes,73.0,79.0,54.0,no,low,21,6,B
S00231,28,female,28,visual,9,no,67.0,60.0,53.0,yes,low,7,9,C
S00232,27,female,45,visual,16,no,55.0,67.0,60.0,yes,low,13,9,C
S00233,21,female,8,reading/writing,10,yes,79.0,75.0,55.0,yes,high,11,9,B
S00234,21,male,23,kinesthetic,4,yes,91.0,84.0,83.0,yes,medium,19,6,B
S00235,28,male,18,reading/writing,8,no,94.0,55.0,96.0,no,medium,14,9,C
S00236,22,male,8,kinesthetic,3,no,60.0,42.0,68.0,no,low,22,8,D
S00237,22,male,49,kinesthetic,10,no,55.0,56.0,56.0,yes,medium,25,10,C
S00238,21,female,25,auditory,19,yes,79.0,77.0,62.0,no,medium,20,4,B
S00239,29,male,12,visual,20,yes,98.0,73.0,87.0,no,medium,16,6,B
S00240,27,female,42,auditory,14,no,76.0,77.0,75.0,no,medium,27,8,B
S00241,19,female,48,visual,2,yes,71.0,56.0,78.0,yes,low,1,5,C
S00242,21,male,46,visual,19,yes,51.0,84.0,79.0,yes,medium,22,6,B
S00243,21,male,30,auditory,2,yes,94.0,46.0,51.0,no,low,22,7,D
S00244,29,female,12,visual,3,no,50.0,45.0,93.0,yes,medium,30,6,D
S00245,22,female,28,auditory,3,yes,66.0,87.0,68.0,no,medium,13,5,A
S00246,28,male,10,visual,5,yes,56.0,45.0,99.0,yes,low,12,7,D
S00247,20,female,33,visual,4,yes,90.0,87.0,64.0,yes,medium,9,6,A
S00248,27,male,41,visual,15,yes,66.0,99.0,84.0,no,medium,14,10,A
S00249,25,female,36,kinesthetic,18,yes,78.0,59.0,99.0,no,medium,4,7,C
S00250,21,male,48,reading/writing,17,yes,97.0,84.0,78.0,yes,low,19,7,B
S00251,26,female,5,auditory,19,yes,77.0,59.0,87.0,no,low,9,5,C
S00252,27,female,21,auditory,0,no,73.0,89.0,67.0,yes,high,29,6,A
S00253,29,male,21,auditory,4,no,86.0,40.0,89.0,yes,low,25,10,D
S00254,29,female,24,kinesthetic,5,no,50.0,52.0,78.0,yes,medium,30,6,D
S00255,22,male,24,kinesthetic,4,no,61.0,71.0,91.0,yes,medium,28,5,B
S00256,28,male,27,reading/writing,0,no,89.0,46.0,96.0,yes,medium,0,5,D
S00257,21,female,16,auditory,19,yes,58.0,69.0,84.0,yes,low,4,4,C
S00258,21,other,24,kinesthetic,16,yes,51.0,64.0,98.0,yes,low,9,9,C
S00259,27,female,10,visual,14,yes,55.0,85.0,85.0,yes,low,27,4,A
S00260,29,female,29,reading/writing,2,yes,82.0,76.0,68.0,yes,medium,14,7,B
S00261,27,female,6,kinesthetic,4,no,77.0,67.0,99.0,no,medium,18,9,C
S00262,18,female,35,auditory,18,no,57.0,75.0,97.0,no,medium,23,7,B
S00263,29,female,25,reading/writing,11,yes,57.0,59.0,55.0,yes,medium,9,10,C
S00264,20,male,12,kinesthetic,8,no,67.0,65.0,71.0,yes,medium,22,10,C
S00265,28,male,26,kinesthetic,5,yes,67.0,75.0,84.0,yes,low,19,7,B
S00266,20,female,32,visual,4,yes,72.0,55.0,86.0,yes,low,28,10,C
S00267,22,female,13,auditory,6,yes,85.0,84.0,76.0,yes,high,1,10,B
S00268,28,female,6,auditory,0,no,59.0,88.0,70.0,no,medium,12,5,A
S00269,29,female,29,kinesthetic,3,no,69.0,82.0,79.0,yes,medium,18,4,B
S00270,19,female,17,reading/writing,2,no,55.0,46.0,71.0,yes,high,20,6,D
S00271,18,male,33,reading/writing,17,no,79.0,44.0,95.0,yes,low,15,10,D
S00272,25,other,39,auditory,2,yes,96.0,92.0,94.0,yes,high,21,10,A
S00273,24,female,10,visual,16,no,81.0,68.0,66.0,yes,medium,11,4,C
S00274,19,male,36,visual,10,yes,63.0,45.0,59.0,yes,high,7,10,D
S00275,23,female,35,auditory,17,no,75.0,84.0,63.0,no,high,5,9,B
S00276,26,male,39,visual,5,yes,77.0,66.0,87.0,yes,low,24,5,C
S00277,20,female,25,reading/writing,15,yes,53.0,94.0,51.0,yes,medium,20,10,A
S00278,27,female,27,reading/writing,18,no,87.0,81.0,85.0,yes,high,22,10,B
S00279,23,male,12,visual,9,no,65.0,42.0,89.0,yes,medium,0,4,D
S00280,18,female,12,reading/writing,17,no,74.0,66.0,82.0,yes,low,6,6,C
S00281,18,male,13,visual,0,no,97.0,50.0,85.0,yes,low,4,6,D
S00282,23,male,28,reading/writing,1,no,61.0,71.0,91.0,yes,low,0,10,B
S00283,21,female,25,kinesthetic,9,yes,87.0,46.0,64.0,yes,high,2,5,D
S00284,23,female,43,kinesthetic,12,yes,70.0,49.0,81.0,yes,medium,1,9,D
S00285,25,female,34,kinesthetic,16,yes,63.0,67.0,72.0,yes,medium,5,4,C
S00286,26,male,29,reading/writing,14,no,100.0,54.0,64.0,yes,medium,17,7,D
S00287,24,male,26,kinesthetic,12,yes,59.0,93.0,68.0,yes,low,8,6,A
S00288,20,female,39,reading/writing,3,yes,73.0,82.0,78.0,yes,medium,29,9,B
S00289,25,male,28,kinesthetic,5,yes,97.0,48.0,53.0,yes,high,19,4,D
S00290,26,male,43,kinesthetic,17,no,93.0,69.0,95.0,yes,medium,0,5,C
S00291,25,female,28,reading/writing,18,no,77.0,62.0,69.0,yes,low,11,10,C
S00292,27,male,12,kinesthetic,9,yes,100.0,47.0,58.0,yes,medium,19,9,D
S00293,25,male,26,auditory,8,yes,84.0,92.0,69.0,no,high,15,4,A
S00294,28,male,43,auditory,6,no,90.0,86.0,87.0,yes,low,10,6,A
S00295,26,male,42,visual,10,yes,68.0,61.0,55.0,yes,medium,7,8,C
S00296,26,male,40,kinesthetic,0,no,91.0,52.0,51.0,no,medium,29,7,D
S00297,25,male,33,auditory,15,no,64.0,50.0,93.0,yes,low,1,6,D
S00298,19,male,15,visual,1,yes,79.0,46.0,59.0,yes,high,22,7,D
S00299,18,female,29,visual,8,no,79.0,71.0,86.0,no,medium,3,5,B
S00300,28,female,21,kinesthetic,17,yes,60.0,99.0,78.0,no,low,13,8,A
S00301,23,male,5,auditory,17,yes,92.0,40.0,83.0,no,medium,9,10,D
S00302,25,male,11,auditory,11,no,77.0,81.0,98.0,yes,high,22,5,B
S00303,28,female,39,reading/writing,16,no,83.0,58.0,77.0,no,high,9,8,C
S00304,20,female,10,auditory,3,no,52.0,75.0,77.0,yes,low,22,7,B
S00305,21,female,40,auditory,1,yes,91.0,57.0,70.0,no,low,20,5,C
S00306,28,male,15,visual,14,no,82.0,98.0,97.0,no,high,10,8,A
S00307,18,male,21,kinesthetic,13,no,100.0,47.0,67.0,no,medium,12,10,D
S00308,27,female,5,visual,8,yes,99.0,60.0,89.0,no,medium,8,8,C
S00309,25,male,27,auditory,17,no,82.0,84.0,78.0,no,low,30,7,B
S00310,28,male,46,auditory,20,no,67.0,50.0,51.0,yes,medium,10,10,D
S00311,25,female,9,kinesthetic,14,no,95.0,42.0,59.0,no,medium,22,10,D
S00312,24,female,45,kinesthetic,14,yes,92.0,41.0,74.0,yes,medium,8,4,D
S00313,24,male,24,visual,16,yes,98.0,50.0,80.0,yes,medium,1,10,D
S00314,20,male,44,auditory,15,yes,93.0,60.0,96.0,no,low,19,6,C
S00315,21,female,28,auditory,8,yes,53.0,84.0,70.0,no,high,12,8,B
S00316,21,female,31,kinesthetic,18,yes,61.0,92.0,85.0,yes,medium,6,6,A
S00317,22,other,33,kinesthetic,5,yes,64.0,85.0,52.0,no,medium,2,6,A
S00318,24,male,38,auditory,6,yes,100.0,84.0,99.0,yes,medium,7,9,B
S00319,19,male,40,reading/writing,16,yes,71.0,42.0,94.0,yes,medium,26,6,D
S00320,25,female,16,reading/writing,17,yes,84.0,63.0,91.0,yes,medium,0,8,C
